COUNT,AFFILIATION,AREA,COMMUTE_TYPE,COUNTY,DIST
6,AS,SLD,CARPOOL,25021,7.6858846595
28,AS,SLD,DRV,25009,32.8457794882143
205,AS,SLD,DRV,25017,15.0469386469171
44,AS,SLD,DRV,25021,10.8015482797955
9,AS,SLD,DRV,25023,47.1883964044444
38,AS,SLD,DRV,25025,7.04734417489474
7,AS,SLD,DRV,25027,72.7769226171429
5,AS,SLD,DRV,33015,64.187505372
6,AS,SLD,DRV_T,25009,31.4452662766667
55,AS,SLD,DRV_T,25017,17.4953839215091
9,AS,SLD,DRV_T,25021,15.9570696881111
8,AS,SLD,DRV_T,25025,5.749040614
11,AS,SLD,UNK,25009,36.4589393
221,AS,SLD,UNK,25017,11.1867780530091
20,AS,SLD,UNK,25021,9.47821664505
47,AS,SLD,UNK,25025,4.27662637255319
6,AS,SLD,UNK,25027,67.0718946916667
5,AS,SLD,UNK,33011,65.607686302
21,AS,SLD,WLK,25017,1.81772411890476
8,AS,SLD,WLK_T,25009,32.6590303925
209,AS,SLD,WLK_T,25017,6.3033782754067
36,AS,SLD,WLK_T,25021,15.2881402648889
76,AS,SLD,WLK_T,25025,4.80331836073684
34,AS,SSM,DRV,25017,16.2255907312059
13,AS,SSM,DRV,25021,9.13662188384616
6,AS,SSM,DRV,25025,4.39816450133333
45,AS,SSM,UNK,25017,9.62838675571111
8,AS,SSM,UNK,25021,6.272728752375
9,AS,SSM,UNK,25025,3.145837042
7,AS,SSM,WLK,25017,1.37616732671429
19,AS,SSM,WLK_T,25017,4.26784610521053
5,F,ENG,BIC,25017,1.560859398
5,F,ENG,CARPOOL,25017,10.8482877032
5,F,ENG,DRV,25009,41.08491772
199,F,ENG,DRV,25017,15.2238582672462
30,F,ENG,DRV,25021,12.6369012467333
14,F,ENG,DRV,25025,4.19949779742857
25,F,ENG,DRV_T,25017,13.37860233956
22,F,ENG,UNK,25017,4.70493927140909
11,F,ENG,WLK,25017,1.62131002590909
25,F,ENG,WLK_T,25017,8.12677839972
11,F,HAS,BIC,25017,2.480891124
49,F,HAS,DRV,25017,9.8055275197347
9,F,HAS,DRV,25021,5.92958564111111
10,F,HAS,DRV,25025,3.4627410516
12,F,HAS,DRV_T,25017,13.1406939255
10,F,HAS,UNK,25017,4.1425232778
27,F,HAS,WLK_T,25017,5.51434468874074
5,F,HAS,WLK_T,25025,3.0408785252
27,F,SAP,DRV,25017,9.74343210488889
5,F,SAP,DRV,25025,5.2815718454
11,F,SAP,UNK,25017,3.96803043845455
10,F,SAP,WLK_T,25017,4.9747221784
6,F,SCI,CARPOOL,25017,8.3478882885
115,F,SCI,DRV,25017,10.199326465
19,F,SCI,DRV,25021,10.9319541912105
8,F,SCI,DRV,25025,5.789403727375
17,F,SCI,DRV_T,25017,17.2724495262353
31,F,SCI,UNK,25017,5.33064313816129
11,F,SCI,UNK,25021,5.65760936481818
11,F,SCI,WLK,25017,1.65048842209091
24,F,SCI,WLK_T,25017,7.28605246125
50,F,SSM,DRV,25017,14.1750092546
14,F,SSM,DRV,25021,7.69645945692857
7,F,SSM,DRV,25025,2.54554860142857
7,F,SSM,DRV_T,25017,12.9662318754286
6,F,SSM,WLK_T,25017,6.09005366966667
6,F,SSM,WLK_T,25025,2.94735839316667
296,G,ENG,BIC,25017,1.57517166263176
6,G,ENG,BIC,25021,2.98331914566667
24,G,ENG,BIC,25025,2.83541720366667
39,G,ENG,BIC_T,25017,3.30369946671795
9,G,ENG,BIC_T,25025,3.51528319455556
11,G,ENG,CARPOOL,25017,4.88333605481818
231,G,ENG,DRV,25017,2.49669498214285
19,G,ENG,DRV,25025,5.12665112857895
10,G,ENG,DRV_T,25017,9.6198721378
63,G,ENG,SHT,25017,2.01634157288889
5,G,ENG,UNK,25009,34.242675292
923,G,ENG,UNK,25017,1.76150343846912
32,G,ENG,UNK,25021,7.3995665809375
125,G,ENG,UNK,25025,2.715021350912
452,G,ENG,WLK,25017,1.06129402299557
12,G,ENG,WLK,25025,1.66643545933333
409,G,ENG,WLK_T,25017,2.65841000382396
21,G,ENG,WLK_T,25021,9.98742654085714
71,G,ENG,WLK_T,25025,3.29034665811268
21,G,HAS,BIC,25017,1.91934069495238
8,G,HAS,BIC_T,25017,2.470913077125
8,G,HAS,DRV,25017,0.839288555125
5,G,HAS,SHT,25017,0.8313087316
105,G,HAS,UNK,25017,1.95561390105714
25,G,HAS,WLK,25017,1.13928822096
76,G,HAS,WLK_T,25017,3.10372352203947
92,G,SAP,BIC,25017,1.9252365525
12,G,SAP,BIC_T,25017,2.24987422116667
25,G,SAP,DRV,25017,1.56104025632
190,G,SAP,UNK,25017,2.06247842746316
19,G,SAP,UNK,25025,3.03977611431579
42,G,SAP,WLK,25017,1.19698094752381
75,G,SAP,WLK_T,25017,2.47500804166667
18,G,SAP,WLK_T,25025,4.0090348585
125,G,SCI,BIC,25017,1.676015815624
12,G,SCI,BIC_T,25017,2.14834385225
32,G,SCI,DRV,25017,1.3442344233125
11,G,SCI,SHT,25017,1.08313006527273
27,G,SCI,UNK,25001,103.582181642222
301,G,SCI,UNK,25017,1.79754126647176
29,G,SCI,UNK,25025,2.90713182734483
6,G,SCI,UNK,60374,5256.335374
146,G,SCI,WLK,25017,1.20517739173288
194,G,SCI,WLK_T,25017,3.40206486178351
24,G,SCI,WLK_T,25025,4.14204481058333
44,G,SSM,BIC,25017,1.76564504818182
9,G,SSM,BIC,25025,2.40031647922222
21,G,SSM,BIC_T,25017,1.47242470319048
78,G,SSM,DRV,25017,2.08408067464102
6,G,SSM,DRV,25021,12.3859999076667
6,G,SSM,DRV_T,25017,6.0580127605
41,G,SSM,SHT,25017,1.10649377604878
272,G,SSM,UNK,25017,1.67507878379412
32,G,SSM,UNK,25025,2.909968515125
81,G,SSM,WLK,25017,1.23889615967901
6,G,SSM,WLK,25025,2.657123807
300,G,SSM,WLK_T,25017,2.05339086611333
11,G,SSM,WLK_T,25021,9.32909789509091
49,G,SSM,WLK_T,25025,3.27176676087755
12,SS,CRP,DRV,25017,12.3317999796667
5,SS,CRP,DRV_T,25017,10.3579527746
6,SS,CRP,WLK_T,25017,12.4450967486667
5,SS,DF,CARPOOL,25005,61.174592936
14,SS,DF,CARPOOL,25017,16.4832773962143
9,SS,DF,CARPOOL,25021,22.1759917911111
35,SS,DF,DRV,25009,30.1205927168571
110,SS,DF,DRV,25017,14.9157882671364
35,SS,DF,DRV,25021,20.8742677371429
10,SS,DF,DRV,25023,34.601218175
36,SS,DF,DRV,25025,9.35290442344444
5,SS,DF,DRV,33015,63.021913906
6,SS,DF,DRV_T,25009,20.9109027466667
8,SS,DF,DRV_T,25017,8.498741977875
5,SS,DF,DRV_T,25025,6.9371230954
7,SS,DF,UNK,25009,20.4098905685714
40,SS,DF,UNK,25017,10.215451929725
7,SS,DF,UNK,25021,19.6038166871429
15,SS,DF,UNK,25025,7.39049249526667
31,SS,DF,WLK_T,25017,5.30838070929032
7,SS,DF,WLK_T,25021,17.0319967942857
5,SS,DF,WLK_T,25023,49.118159488
37,SS,DF,WLK_T,25025,7.68532298078378
7,SS,ENG,BIC,25017,4.45914417342857
9,SS,ENG,CARPOOL,25017,18.3450456883333
13,SS,ENG,DRV,25009,32.1608155646154
65,SS,ENG,DRV,25017,13.6962931690308
5,SS,ENG,DRV,25021,17.9745076702
17,SS,ENG,DRV,25025,8.59857523958823
20,SS,ENG,DRV_T,25017,17.05597070695
5,SS,ENG,DRV_T,25025,6.0847468682
11,SS,ENG,UNK,25017,6.45308375327273
44,SS,ENG,WLK_T,25017,7.27149970561363
20,SS,ENG,WLK_T,25021,12.78861120275
27,SS,ENG,WLK_T,25025,5.69276574037037
9,SS,HAS,DRV,25017,8.267272485
7,SS,HAS,DRV_T,25017,13.9053297508571
17,SS,HAS,WLK_T,25017,14.1699118574706
9,SS,HAS,WLK_T,25021,9.81252438811111
12,SS,HAS,WLK_T,25025,5.68985363858333
11,SS,LIB,DRV,25017,13.1274065668182
43,SS,LIB,WLK_T,25017,7.35295760734884
6,SS,LIB,WLK_T,25021,13.2722207913333
17,SS,LIB,WLK_T,25025,5.46431872635294
73,SS,LL,UNK,25009,34.6682239580822
499,SS,LL,UNK,25017,31.3676866354409
29,SS,LL,UNK,25021,19.4138099598276
13,SS,LL,UNK,25023,46.6580484892308
22,SS,LL,UNK,25025,6.17635372422727
59,SS,LL,UNK,25027,84.2758231294915
70,SS,LL,UNK,33011,65.5018603122857
21,SS,LL,UNK,33015,57.7902433542857
7,SS,LL,WLK_T,25017,9.57940737914286
17,SS,OTH,CARPOOL,25017,5.98705928652941
8,SS,OTH,CARPOOL,25025,7.847055888125
19,SS,OTH,DRV,25017,11.0622263063684
10,SS,OTH,DRV,25025,9.620054575
8,SS,OTH,UNK,25017,22.04797425625
28,SS,OTH,WLK_T,25017,6.83290983228571
5,SS,OTH,WLK_T,25021,13.699032356
21,SS,OTH,WLK_T,25025,6.95208827261905
5,SS,SAP,DRV,25009,27.89512032
7,SS,SAP,DRV,25017,11.6875329178571
18,SS,SAP,WLK_T,25017,7.51683911761111
9,SS,SAP,WLK_T,25025,3.585565717
5,SS,SCI,BIC,25017,2.5955087186
14,SS,SCI,CARPOOL,25017,11.3578573647857
6,SS,SCI,DRV,25009,26.2175424966667
26,SS,SCI,DRV,25017,13.7323089062308
7,SS,SCI,DRV,25021,21.61592401
7,SS,SCI,DRV,25025,10.1731542447143
7,SS,SCI,DRV_T,25017,23.9502704782857
8,SS,SCI,UNK,25009,38.69026265375
10,SS,SCI,UNK,25017,10.4081111183
26,SS,SCI,WLK_T,25017,6.81743414119231
8,SS,SCI,WLK_T,25021,12.341544111125
14,SS,SCI,WLK_T,25025,5.21872938821429
7,SS,SLD,BIC,25017,2.18022924771429
23,SS,SLD,CARPOOL,25017,11.9075426202609
5,SS,SLD,CARPOOL,25021,17.8658187416
9,SS,SLD,CARPOOL,25025,9.64864957722222
31,SS,SLD,DRV,25009,31.4928322816129
