Latitude,Longitude,Mode,FIPS,Distance
42.36734584,-71.10940362,BIC,250174000000,1.777105695
42.37761212,-71.10407687,BIC,250174000000,2.371040442
42.38111821,-71.09500368,BIC,250174000000,2.64558092
42.35357099,-71.10741644,BIC,250174000000,0.761364729
42.35984848,-71.09511932,BIC,250174000000,0.761364729
42.355231,-71.09711459,BIC,250174000000,0.761364729
42.37065704,-71.10741684,BIC,250174000000,1.985755147
42.35625544,-71.09820039,BIC,250174000000,0.364101878
42.38959624,-71.12316421,BIC,250174000000,4.595530081
42.35988388,-71.10498121,BIC,250174000000,1.111084741
42.35912087,-71.09583162,BIC,250174000000,0.761364729
42.41528882,-71.1267947,BIC,250173000000,7.021384281
42.35423059,-71.09357579,BIC,250174000000,0.761364729
42.36493792,-71.10299557,BIC,250174000000,1.315696477
42.37735466,-71.10639746,BIC,250174000000,2.371040442
42.35322386,-71.10318889,BIC,250174000000,0.761364729
42.38111747,-71.09291111,BIC,250174000000,2.64558092
42.35933249,-71.08248752,BIC,250174000000,0.852588261
42.40028138,-71.12539079,BIC,250174000000,5.699121279
42.35956608,-71.09607833,BIC,250174000000,0.761364729
42.38244729,-71.1175377,BIC,250174000000,3.670409198
42.3594113,-71.10775437,BIC,250174000000,1.292386981
42.36303391,-71.08167033,BIC,250174000000,1.562894915
42.35909044,-71.10887469,BIC,250174000000,1.763787053
42.35684777,-71.08329157,BIC,250174000000,0.852588261
42.38187665,-71.09819428,BIC,250174000000,2.566980677
42.35301816,-71.10664293,BIC,250174000000,0.761364729
42.36965071,-71.09266296,BIC,250174000000,1.263809294
42.35312844,-71.10818211,BIC,250174000000,0.761364729
42.38254223,-71.0949509,BIC,250174000000,2.64558092
42.36366952,-71.10064788,BIC,250174000000,0.570497567
42.35623631,-71.10121568,BIC,250174000000,0.761364729
42.35940576,-71.10481473,BIC,250174000000,1.111084741
42.36279668,-71.10253408,BIC,250174000000,0.714711821
42.36350135,-71.09280718,BIC,250174000000,0.68143223
42.36381404,-71.10333919,BIC,250174000000,0.714711821
42.35626911,-71.09707814,BIC,250174000000,0.364101878
42.35400257,-71.09256226,BIC,250174000000,0.761364729
42.37157764,-71.1016962,BIC,250174000000,1.600790279
42.36268447,-71.09443324,BIC,250174000000,0.570497567
42.35841249,-71.09377932,BIC,250174000000,0.761364729
42.35854323,-71.09551686,BIC,250174000000,0.761364729
42.35801886,-71.09459065,BIC,250174000000,0.761364729
42.3573843,-71.09858415,BIC,250174000000,0.761364729
42.35978281,-71.11118925,BIC,250174000000,1.763787053
42.35797194,-71.0987538,BIC,250174000000,0.761364729
42.35833532,-71.09379674,BIC,250174000000,0.761364729
42.35610662,-71.11515894,BIC,250174000000,2.184564232
42.35580962,-71.10173032,BIC,250174000000,0.761364729
42.35668116,-71.09294396,BIC,250174000000,0.761364729
42.35539913,-71.11394488,BIC,250174000000,2.184564232
42.37103726,-71.08936427,BIC,250174000000,1.252834916
42.35966324,-71.10763559,BIC,250174000000,1.292386981
42.35725587,-71.09584185,BIC,250174000000,0.761364729
42.37434224,-71.10021326,BIC,250174000000,1.753866844
42.36945368,-71.11234704,BIC,250174000000,2.073895226
42.35258419,-71.10521023,BIC,250174000000,0.761364729
42.35679645,-71.09840585,BIC,250174000000,0.761364729
42.36768559,-71.08486516,BIC,250174000000,1.328618643
42.38038143,-71.10490197,BIC,250174000000,2.68120779
42.35408326,-71.0931004,BIC,250174000000,0.761364729
42.38408631,-71.09745791,BIC,250174000000,2.887391706
42.35442275,-71.10462924,BIC,250174000000,0.761364729
42.35516501,-71.09734924,BIC,250174000000,0.761364729
42.37685189,-71.10872418,BIC,250174000000,2.577168453
42.36017773,-71.10400506,BIC,250174000000,1.111084741
42.35679446,-71.09752123,BIC,250174000000,0.761364729
42.37591034,-71.10771348,BIC,250174000000,2.325382963
42.35427475,-71.1074794,BIC,250174000000,0.761364729
42.3837369,-71.10534957,BIC,250174000000,3.047190432
42.35916272,-71.08682709,BIC,250174000000,0.852588261
42.36899038,-71.09180364,BIC,250174000000,1.263809294
42.35944532,-71.1010023,BIC,250174000000,1.111084741
42.36344997,-71.09414682,BIC,250174000000,0.68143223
42.35830848,-71.09596348,BIC,250174000000,0.761364729
42.35952191,-71.09442129,BIC,250174000000,0.761364729
42.37470602,-71.10584336,BIC,250174000000,2.325382963
42.35383493,-71.10232608,BIC,250174000000,0.761364729
42.37042586,-71.10910872,BIC,250174000000,1.972831371
42.35742066,-71.08745047,BIC,250174000000,0.852588261
42.38502438,-71.11294428,BIC,250174000000,3.63972659
42.35312208,-71.10886579,BIC,250174000000,0.761364729
42.3533928,-71.10892698,BIC,250174000000,0.761364729
42.36207608,-71.1060833,BIC,250174000000,1.515813951
42.36037401,-71.09918986,BIC,250174000000,0.714711821
42.35347303,-71.10506479,BIC,250174000000,0.761364729
