Count,Affiliation,Area,Commute Type,County,Distance,Time
10,F,SAP,T,25017,4.9747221784,93.2818709619
6,F,SCI,CARPOOL,25017,8.3478882885,106.727742874
115,F,SCI,DRV,25017,10.199326465,1759.55977119
19,F,SCI,DRV,25021,10.9319541912,311.591853635
8,F,SCI,DRV,25025,5.78940372738,69.4797927078
17,F,SCI,T,25017,17.2724495262,550.593740758
11,F,SCI,WLK,25017,1.65048842209,217.951652377
24,F,SCI,T,25017,7.28605246125,327.89285406
50,F,SSM,DRV,25017,14.1750092546,1063.2320173
14,F,SSM,DRV,25021,7.69645945693,161.641812777
7,F,SSM,DRV,25025,2.54554860143,26.7309334083
7,F,SSM,T,25017,12.9662318754,170.192430392
6,F,SSM,T,25017,6.09005366967,68.5173861204
6,F,SSM,T,25025,2.94735839317,33.159854414
296,G,ENG,BIC,25017,1.57517166263,1165.62703035
6,G,ENG,BIC,25021,2.98331914567,44.749787185
24,G,ENG,BIC,25025,2.83541720367,170.12503222
39,G,ENG,T,25017,3.30369946672,241.598123386
9,G,ENG,T,25025,3.51528319456,59.3241116651
11,G,ENG,CARPOOL,25017,4.88333605482,114.46131814
231,G,ENG,DRV,25017,2.49669498214,865.191330446
19,G,ENG,DRV,25025,5.12665112858,146.124169581
10,G,ENG,T,25017,9.6198721378,180.383876576
63,G,ENG,SHT,25017,2.01634157289,270.678711042
452,G,ENG,WLK,25017,1.061294023,5758.76228564
12,G,ENG,WLK,25025,1.66643545933,240.062731236
409,G,ENG,T,25017,2.65841000382,2038.79559641
21,G,ENG,T,25021,9.98742654086,393.279500015
71,G,ENG,T,25025,3.29034665811,438.054777285
21,G,HAS,BIC,25017,1.91934069495,100.765386485
8,G,HAS,T,25017,2.47091307713,37.0660127827
8,G,HAS,DRV,25017,0.839288555125,10.0724699085
5,G,HAS,SHT,25017,0.8313087316,8.85690103985
25,G,HAS,WLK,25017,1.13928822096,341.923235582
76,G,HAS,T,25017,3.10372352204,442.308246156
92,G,SAP,BIC,25017,1.9252365525,442.804407075
12,G,SAP,T,25017,2.24987422117,50.6253340596
25,G,SAP,DRV,25017,1.56104025632,58.5448640984
42,G,SAP,WLK,25017,1.19698094752,603.519805474
75,G,SAP,T,25017,2.47500804167,348.069760219
18,G,SAP,T,25025,4.0090348585,135.313383561
125,G,SCI,BIC,25017,1.67601581562,523.754942382
12,G,SCI,T,25017,2.14834385225,48.340757973
32,G,SCI,DRV,25017,1.34423442331,64.5297052895
11,G,SCI,SHT,25017,1.08313006527,25.387664006
146,G,SCI,WLK,25017,1.20517739173,2112.3157166
194,G,SCI,T,25017,3.40206486178,1237.57844213
24,G,SCI,T,25025,4.14204481058,186.403666705
44,G,SSM,BIC,25017,1.76564504818,194.2209553
9,G,SSM,BIC,25025,2.40031647922,54.0071207825
21,G,SSM,T,25017,1.47242470319,57.9803464598
78,G,SSM,DRV,25017,2.08408067464,243.861825116
6,G,SSM,DRV,25021,12.3859999077,111.485147684
6,G,SSM,T,25017,6.0580127605,68.1569033621
41,G,SSM,SHT,25017,1.10649377605,96.6678986107
81,G,SSM,WLK,25017,1.23889615968,1204.68894279
6,G,SSM,WLK,25025,2.657123807,191.389469892
300,G,SSM,T,25017,2.05339086611,1155.10455622
11,G,SSM,T,25021,9.32909789509,192.424670628
49,G,SSM,T,25025,3.27176676088,300.612359428
12,SS,CRP,DRV,25017,12.3317999797,221.994599094
5,SS,CRP,T,25017,10.3579527746,97.1118767542
6,SS,CRP,T,25017,12.4450967487,140.016089428
5,SS,DF,CARPOOL,25005,61.174592936,651.764254592
14,SS,DF,CARPOOL,25017,16.4832773962,491.723595881
9,SS,DF,CARPOOL,25021,22.1759917911,425.280047134
35,SS,DF,DRV,25009,30.1205927169,1581.48926656
110,SS,DF,DRV,25017,14.9157882671,2461.3511992
35,SS,DF,DRV,25021,20.8742677371,1096.00865707
10,SS,DF,DRV,25023,34.601218175,519.070179643
36,SS,DF,DRV,25025,9.35290442344,505.107349601
5,SS,DF,DRV,33015,63.021913906,472.711625458
6,SS,DF,T,25009,20.9109027467,235.262359797
8,SS,DF,T,25017,8.49874197787,127.489097737
5,SS,DF,T,25025,6.9371230954,65.039593994
31,SS,DF,T,25017,5.30838070929,308.568914285
7,SS,DF,T,25021,17.0319967943,223.558930358
5,SS,DF,T,25023,49.118159488,460.51152717
37,SS,DF,T,25025,7.68532298078,533.202606955
7,SS,ENG,BIC,25017,4.45914417343,78.035023035
9,SS,ENG,CARPOOL,25017,18.3450456883,351.81208437
13,SS,ENG,DRV,25009,32.1608155646,627.198623372
65,SS,ENG,DRV,25017,13.696293169,1335.52213619
5,SS,ENG,DRV,25021,17.9745076702,134.822289755
17,SS,ENG,DRV,25025,8.59857523959,219.285597169
20,SS,ENG,T,25017,17.0559707069,639.638878941
5,SS,ENG,T,25025,6.0847468682,57.0480673936
44,SS,ENG,T,25017,7.27149970561,599.936221727
20,SS,ENG,T,25021,12.7886112027,479.602895284
27,SS,ENG,T,25025,5.69276574037,288.214278999
9,SS,HAS,DRV,25017,8.267272485,111.619340482
7,SS,HAS,T,25017,13.9053297509,182.518860409
17,SS,HAS,T,25017,14.1699118575,451.694171343
9,SS,HAS,T,25021,9.81252438811,165.596698843
12,SS,HAS,T,25025,5.68985363858,128.029708725
11,SS,LIB,DRV,25017,13.1274065668,216.62387074
43,SS,LIB,T,25017,7.35295760735,592.869261421
6,SS,LIB,T,25021,13.2722207913,149.321816516
17,SS,LIB,T,25025,5.46431872635,174.18604603
7,SS,LL,T,25017,9.57940737914,125.73758045
17,SS,OTH,CARPOOL,25017,5.98705928653,216.876215365
8,SS,OTH,CARPOOL,25025,7.84705588813,133.766134892
19,SS,OTH,DRV,25017,11.0622263064,315.30498023
10,SS,OTH,DRV,25025,9.620054575,144.31525015
28,SS,OTH,T,25017,6.83290983229,358.750188082
5,SS,OTH,T,25021,13.699032356,128.436455616
21,SS,OTH,T,25025,6.95208827262,273.755585458
5,SS,SAP,DRV,25009,27.89512032,209.234325833
7,SS,SAP,DRV,25017,11.6875329179,122.731368774
18,SS,SAP,T,25017,7.51683911761,253.709177043
9,SS,SAP,T,25025,3.585565717,60.5102033621
5,SS,SCI,BIC,25017,2.5955087186,32.4438589825
14,SS,SCI,CARPOOL,25017,11.3578573648,338.823786719
6,SS,SCI,DRV,25009,26.2175424967,235.981480618
26,SS,SCI,DRV,25017,13.7323089062,535.613608704
7,SS,SCI,DRV,25021,21.61592401,226.989901095
7,SS,SCI,DRV,25025,10.1731542447,106.82880245
7,SS,SCI,T,25017,23.9502704783,314.366947962
26,SS,SCI,T,25017,6.81743414119,332.370687551
